bvid,title,part,page,cid,typename,author,play,like,coin,favorite,share,danmaku,reply
BV1Yt4y1v7cC,父亲写的散文诗,父亲写的散文诗,1,243663016,翻唱,广西吴恩师,3809430,276848,256137,71461,22779,8148,6349
BV1NT4y1w776,【搞笑丧尸片】鲲山行（70分钟完整版） 卢本伟&茄子&周淑怡 等领衔主演,鲲山行 完整版,1,240765230,鬼畜剧场,浅澄月,7975228,564169,488699,311743,123784,132398,6480
BV1gt4y1i7V9,走完同一条街，回到两个世界。,走完同一条街，回到两个世界。,1,244162431,人力VOCALOID,在下豆子君,6868357,260139,77746,84534,17480,7008,5560
BV1Rp4y1r7FA,军校有rap！《滚烫》听听看,滚烫第7版 - 复件,1,243814967,原创音乐,国防科技大学,1683090,174159,158640,75500,25756,6044,2115
BV1Ur4y1c75J,摆摊把666只乌龟卖了，金额随便付，最高有人付一千！,666只乌龟公益摆摊卖了，金额随便扫，最高有人付一千！,1,244895678,搞笑,大胡子魏,3044447,255952,182835,21387,3840,7110,3865
BV1oK411P7JU,大概全站的人都会被推送到这个视频吧！,fate,1,241458189,MAD·AMV,小米酱会发光,12301891,1281079,1108356,677753,43992,84495,14094
BV1op4y1a7aA,十年后，他应该会想删掉这段表演。,下载 (2),1,240641473,日常,奥运会睡不醒冠军,6036355,296721,42731,73847,48387,11701,5412
BV1154y1k7kT,上海“名媛”群大赏,名媛群_1,1,244973058,搞笑,G僧东东,4381599,260563,82372,31405,42022,12975,9385
BV1ff4y1D7VD,这是他生前最后一句话...,剧透2,1,243431575,配音,刘拖地,3641989,279605,117083,27806,5221,6084,1384
BV1Mt4y1i7TH,【原神】锄大地路线图+捡圣遗物路线图，突破材料/金币/圣遗物狗粮+丘丘人灭绝计划,锄大地路线,1,244063069,手机游戏,卡特亚,1309627,69047,51509,54221,14106,2236,2096
BV1Mt4y1i7TH,【原神】锄大地路线图+捡圣遗物路线图，突破材料/金币/圣遗物狗粮+丘丘人灭绝计划,捡圣遗物路线,2,244063575,手机游戏,卡特亚,1309627,69047,51509,54221,14106,2236,2096
BV1di4y1E7h4,科目二免费教学！,科目二免费教学！,1,243358391,单机游戏,中国BOY超级大猩猩,2855781,217353,71202,25193,2576,31613,2321
BV1Q54y1k7o4,【半佛】彩礼问题的核心矛盾与现实。,103 彩礼V3 201009,1,244018836,财经商业,硬核的半佛仙人,3050557,163442,68645,31645,29793,13010,12164
BV1qZ4y157We,【原神手书】丘丘人：火之神神乐,卢姥丘,1,243976284,同人·手书,SHL超级大鸽子,2767000,184543,95613,58242,51649,6421,2617
BV1qZ4y157We,【原神手书】丘丘人：火之神神乐,对比版,2,243997423,同人·手书,SHL超级大鸽子,2767000,184543,95613,58242,51649,6421,2617
BV19f4y1D7UB,刻入你DNA的中二台词  万恶之源,没有题目 2_1080p,1,242270984,MAD·AMV,火梦影,1718716,141202,63241,62845,5458,12074,7578
BV1sK411N79Q,什么情况？女友带着她弟弟整我？！,WMRJ,1,243361814,出行,啊吗粽,2475395,240522,81962,20099,2153,23458,2295
BV1Nf4y1B76o,【刘谦魔术课】只要一副牌，魔术随手来！One ahead principle！,刘谦扑克牌读心术,1,243501617,明星综合,刘谦,3214172,184399,93609,42992,15178,11008,3929
BV1yt4y1v7Qs,为什么日本那么多匠人？十六代目店主继承550年老铺的原因竟然是......,10.9探求匠人精神1,1,243837129,日常,纳豆奶奶,1614612,160193,85931,18295,2016,9588,7470
BV1CK4y187jZ,教你如何每日快速获取必需热门材料（一）水晶矿篇,王之宝库（一）,1,243392068,手机游戏,老沐ocean,827096,49420,37933,55570,6025,1188,1043
BV1ek4y1C7yX,散光恢复训练，看完眼睛舒服多了！,散光恢复训练，看完眼睛舒服多了！,1,240556706,日常,癸大有,2515793,58190,28869,112328,8096,411,1719
BV1ca4y1L7oC,【正片】硬核还原：“激光制导+钢针攻击”魔鬼司令,Final,1,244617975,极客DIY,喵咪的哥哥,1594678,112339,101149,26673,18388,4067,2668
BV1Rk4y1C7QY,原神 如何笔直的飞行,补充,1,243749803,手机游戏,在此空大真君,2973746,91446,26318,47856,46327,2864,2134
BV1YV41117qd,犬来八荒  |  阿狗上山,犬来八荒  |  阿狗上山,1,242903566,明星综合,犬来八荒w,1565528,148767,76558,26716,7673,10582,5891
BV1Ka4y1L7sf,探险大师老番茄,spelunky-demo(1),1,244513897,单机游戏,老番茄,4365863,241545,47953,20006,2539,11391,3638
BV1PV411y7Ae,自制便便称重马桶,自制便便称重马桶,1,243898140,手工,手工耿,3506669,269249,65207,12293,34551,21538,10640
BV1dA41177wu,在马路中间捡到了一只生病受伤的小边牧，它后来怎么样了,在马路中间捡到了一只生病受伤的小边牧，它后来怎么样了,1,243855393,汪星人,边牧coffee的一家,3824008,251718,246055,23630,6131,5232,2707
BV1pA41177Ya,无人能撑住一分钟，30秒不投币！算我输！！！,10-5萌系混剪,1,242695781,影视剪辑,爱睡觉的_Koala,4101710,188129,67706,45691,3874,5767,1710
BV1FV41127fq,盛兴而来 悻悻而去,盛兴而来 悻悻而去,1,242492001,日常,卧龙寺,2517804,71578,6828,41033,11347,701,1949
BV1dv411C7ZM,我俩儿子用不着你操心,我俩儿子用不着你操心,1,237930026,搞笑,Go吧航,3990992,133368,5463,29794,17851,600,1359
BV1fa4y157Du,【酱香饼】摊主看了直呼内行，重金买来的酱香饼配方就这样公开！,酱香饼带字幕版本_x264,1,242351131,美食制作,我的样子平平无奇,2496520,162236,94208,45639,6868,10145,2229
BV1Ct4y1q7Te,这个世界比以往更需要我们，献给我所深爱的守望先锋。——《Heroes》,这个世界比以往更需要我们，献给我所深爱的守望先锋。——《Heroes》,1,243136035,电子竞技,夏一可,797320,76920,72521,24156,6190,2477,3066
BV1ND4y1d75C,【暴走大事件】第七季 预告片刚做好！给大家看看！,【暴走大事件】第七季 预告片刚做好！给大家看看！,1,243934205,搞笑,暴走漫画,1102849,123290,74436,67,8470,6021,4056
BV1P541187VD,前方帅爆！！当我出手的那一刻！世界将就此泯灭！！！,Teeth_53_x264,1,239131638,MAD·AMV,烟季,8471980,603585,428449,317836,28351,14524,4785
BV1AA411E7CA,耿爽：今天只有一个意思，美国才是最大威胁。,耿爽：今天只有一个意思，美国才是最大威胁。,1,244315869,热点,共青团中央,2512455,206086,30237,21552,13617,6294,5710
BV13K4y1h7ud,【萌新原神说】原神看板娘竟然是公的？？还是个神明？？,原神2.0,1,243227725,网络游戏,萌新二次方,2720249,153350,31607,30978,20151,7653,4212
BV1Ey4y1C7ci,你听过「蟹老板的心跳」吗？,序列 02,1,242900132,美食制作,脑电工,1684740,90564,30311,20592,4232,2027,1699
BV1dp4y1r74q,福尔摩斯：华生今晚不在家，我们可以....,读评论！！1,1,244133741,同人·手书,逗比的雀巢,5252322,259173,47207,26775,4679,3247,2347
BV1Za411w7bR,小 母 牛 歇 后 语 大 全 1.0 ！！！,小母牛歇后语字幕和谐,1,244959672,配音,三十六贱笑,1308319,102520,37597,31319,24856,2793,1470
BV1n54y1k7cG,国庆节带熊孩子去钓鱼，没想到钓起了10斤作业！,18  魔鬼舅舅钓鱼,1,243139694,搞笑,东尼ookii,3272397,250253,51309,14797,5744,23238,2579
BV1Eb411u7Fw,《高等数学》同济版 2024年更新|宋浩老师,1.1 映射,1,122452656,校园学习,宋浩老师官方,197903852,3247531,2676985,3114103,1115981,3654742,78147
BV1Eb411u7Fw,《高等数学》同济版 2024年更新|宋浩老师,【口误修正】Rg包含于Df,2,435050022,校园学习,宋浩老师官方,197903852,3247531,2676985,3114103,1115981,3654742,78147
BV1Eb411u7Fw,《高等数学》同济版 2024年更新|宋浩老师,第八版可以看本视频（与第七版差别非常小）,3,1263257643,校园学习,宋浩老师官方,197903852,3247531,2676985,3114103,1115981,3654742,78147
BV1Q541157rc,华农兄弟：上山一趟，发现不少野果，有些已经十几年没吃过了,华农兄弟：上山一趟，发现不少野果，味道很不错哦,1,243681046,三农,华农兄弟,2403441,187073,72081,10439,4521,33919,4081
BV1cD4y1d7Fu,大概全站的人都会被推送到这个视频吧！,大概全站的人都会被推送到这个视频吧！,1,240691775,MAD·AMV,二代二代,2536286,220208,104717,107668,4363,3182,2171
BV1hD4y1d7L2,【罗翔】二奶是男的不算重婚罪？你发现了盲点。读评论#3,版4,1,244133152,社科·法律·心理,罗翔说刑法,3247251,298203,56158,17456,10272,21648,6496
BV1ja411A7py,无头up主？众筹290万粉丝买个头……,0162,1,244221896,日常,二喵的饭,1834276,196045,115191,16901,913,8923,2962
BV15v411k7M4,从木头里取出一只长腿手办,高能手办团,1,244135737,手工,卢正义的雕刻时光,2415194,229065,112559,15846,1727,6410,2692
BV1rv41117Pb,杀死拖延症的最快方法！我做事比喝水都快 | 逼你自律,杀死拖延症的最快方法！我做事比喝水都快 | 逼你自律,1,235911889,校园学习,杨真直,2519968,169750,90071,126049,14883,9743,3198
BV1Hh41197xu,【中华小子】爷青回！十三年后的回归，中华小子后续有望？！,华小语音祝福,1,242335263,同人·手书,中华小子同人站,1517422,114241,37881,22746,6276,9426,4983
BV1DK411P7Yr,【原神】超简单设置派蒙跟随.可爱滴神~,派蒙跟随,1,243428915,单机游戏,故漫,1948431,95140,28916,30459,14522,1698,2810
BV1fz4y1d7hT,读       评       论,Q&A正片,1,244207443,日常,老坛胡说,2195603,278518,32747,11775,1263,27778,2724
